,name,link,salary_min,salary_max,currency_of_salary,site_name
0,Разработчик Python,https://hh.ru/vacancy/51801847?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
1,Data Scientist (команда Поиска),https://hh.ru/vacancy/46048820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
2,Data Scientist,https://hh.ru/vacancy/50584852?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
3,Аналитик направления цифрового маркетинга (BI\SQL\Python),https://hh.ru/vacancy/49881796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,170000.0,210000.0,руб.,hh.ru
4,Data - инженер,https://hh.ru/vacancy/48927705?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
5,Аналитик данных,https://hh.ru/vacancy/46241509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
6,Founding Data scientist / Machine Learning Engineer,https://hh.ru/vacancy/51448522?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,500000.0,,руб.,hh.ru
7,Разработчик отчетности/Аналитик данных,https://hh.ru/vacancy/48328351?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
8,Ведущий аналитик данных / Senior data analyst,https://hh.ru/vacancy/51711011?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
9,Senior QA инженер,https://hh.ru/vacancy/47759634?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,200000.0,,руб.,hh.ru
10,Специалист по тестированию,https://hh.ru/vacancy/40585500?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
11,QA специалист в команду Биллинга,https://hh.ru/vacancy/47251783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
12,Стажёр-программист Python / Python Developer Trainee,https://hh.ru/vacancy/50927402?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,25000.0,,руб.,hh.ru
